100,61.90,2024-11-19 05:07:09,Credit Card
6,38.37,2023-12-10 18:45:25,Google Pay
70,54.31,2024-07-31 05:07:36,PayPal
23,50.71,2024-06-08 09:25:33,Google Pay
52,42.69,2024-02-12 01:42:43,Credit Card
2,49.87,2024-05-27 04:12:08,Cryptocurrency
37,37.32,2023-11-25 08:58:07,Google Pay
96,46.14,2024-04-02 13:42:51,Bank Transfer
54,60.77,2024-11-02 18:40:20,Bank Transfer
35,50.26,2024-06-01 20:44:41,Apple Pay
41,45.49,2024-03-24 01:00:39,Venmo
67,51.72,2024-06-23 06:59:09,Credit Card
77,45.56,2024-03-25 00:43:05,PayPal
21,47.15,2024-04-17 06:03:44,Venmo
83,53.52,2024-07-19 15:09:28,Check
41,38.23,2023-12-08 17:31:20,Apple Pay
58,56.16,2024-08-27 05:33:04,Bank Transfer
99,42.18,2024-02-04 11:53:35,Cryptocurrency
36,52.45,2024-07-03 21:58:20,PayPal
94,57.54,2024-09-16 09:18:16,Debit Card
48,43.99,2024-03-02 02:30:03,Credit Card
60,47.16,2024-04-17 10:28:47,Cryptocurrency
58,51.44,2024-06-19 01:36:14,PayPal
11,61.50,2024-11-13 11:10:32,Bank Transfer
19,45.88,2024-10-27 05:56:32,Cryptocurrency
90,60.33,2024-05-12 23:06:02,Google Pay
6,48.90,2024-06-25 01:41:06,Google Pay
24,51.85,2024-02-15 23:24:44,Bank Transfer
32,42.96,2024-06-16 10:15:16,Debit Card
28,51.26,2023-12-29 23:52:33,PayPal
39,39.68,2024-01-26 21:21:24,Check
7,41.59,2024-10-13 01:32:28,Cryptocurrency
96,59.36,2023-12-09 10:30:32,Bank Transfer
29,38.28,2024-10-18 06:26:00,Venmo
55,59.71,2024-03-14 12:18:24,Google Pay
57,42.83,2024-02-28 12:39:08,Google Pay
59,44.84,2024-04-09 14:10:41,Apple Pay
32,43.82,2023-12-13 21:48:43,Bank Transfer
19,46.62,2024-11-04 13:05:00,Cash
14,38.58,2024-03-03 05:41:01,Venmo
26,60.90,2024-06-07 07:14:36,PayPal
39,44.07,2024-06-15 04:21:26,Credit Card
84,50.63,2024-05-28 09:21:05,PayPal
58,51.17,2024-06-22 03:29:00,Debit Card
88,49.96,2024-03-14 14:54:43,Cash
20,51.65,2024-01-26 04:41:34,PayPal
32,44.85,2024-01-08 11:33:55,Venmo
62,41.54,2024-08-28 04:54:06,Cryptocurrency
55,40.33,2024-02-21 17:11:34,Apple Pay
51,56.23,2024-04-09 02:20:56,Venmo
8,43.35,2024-01-28 16:20:42,Credit Card
27,46.59,2024-09-20 19:44:47,Google Pay
31,41.71,2024-08-31 22:58:29,Venmo
39,57.84,2024-06-18 03:57:35,PayPal
76,56.48,2024-10-06 13:49:19,Cryptocurrency
66,51.37,2024-11-05 23:27:18,Apple Pay
68,58.92,2024-01-30 21:07:57,Venmo
24,60.99,2024-03-14 08:01:08,Debit Card
3,41.86,2024-07-02 18:02:51,PayPal
38,44.83,2024-06-05 22:48:57,Check
77,52.37,2024-05-23 04:17:20,Cryptocurrency
25,50.54,2023-12-18 20:43:10,Credit Card
65,49.60,2024-02-25 07:07:39,PayPal
89,38.92,2024-05-03 03:03:22,Cryptocurrency
96,43.60,2024-03-11 08:19:50,Apple Pay
46,48.23,2024-04-08 22:51:42,Debit Card
61,44.62,2024-08-23 17:56:54,Debit Card
52,46.58,2024-07-17 20:31:27,Cash
68,55.92,2024-07-23 10:03:29,Credit Card
99,53.40,2024-02-13 18:58:39,Venmo
61,53.78,2023-11-29 19:30:08,Cash
50,42.81,2024-02-12 20:01:48,Debit Card
89,37.62,2024-01-03 01:25:24,Bank Transfer
47,42.75,2024-11-12 17:06:40,Check
29,39.96,2024-04-06 09:20:20,Credit Card
18,61.45,2024-08-25 15:37:11,Venmo
97,46.40,2024-02-16 13:37:14,Check
2,56.05,2024-07-14 13:07:37,Google Pay
68,43.00,2024-06-29 02:32:20,Bank Transfer
92,53.18,2023-11-30 23:47:31,Credit Card
60,59.01,2024-05-26 01:54:22,Venmo
41,60.89,2024-07-23 23:38:57,Check
16,48.29,2024-06-29 09:03:02,PayPal
60,52.12,2024-05-18 10:38:20,Venmo
15,37.70,2024-10-07 22:31:35,PayPal
63,49.80,2024-07-26 09:27:08,PayPal
89,53.82,2024-05-07 22:39:04,Apple Pay
75,61.52,2024-03-02 07:00:03,PayPal
15,52.14,2024-07-11 10:45:29,Venmo
34,43.45,2024-01-24 11:35:26,Cryptocurrency
83,49.28,2024-01-06 15:51:34,Venmo
3,60.49,2024-02-20 03:35:47,Apple Pay
88,59.01,2024-09-11 11:19:00,Cryptocurrency
83,53.99,2024-01-29 03:37:53,Credit Card
54,48.56,2024-10-14 14:38:12,Google Pay
2,44.01,2023-11-26 16:00:19,Bank Transfer
69,52.96,2024-07-22 23:55:29,Google Pay
66,41.42,2024-02-15 19:41:43,Check
83,40.21,2024-10-19 05:55:13,Check
26,43.25,2024-06-24 20:57:58,Credit Card
