30,30,4
71,71,6
97,97,8
89,89,7
14,14,1
6,6,2
46,46,7
70,70,2
4,4,4
80,80,5
81,81,4
56,56,7
11,11,2
38,38,5
29,29,8
53,53,5
5,5,5
50,50,2
86,86,4
64,64,6
62,62,3
11,11,4
27,27,5
92,92,1
70,70,4
42,42,7
25,25,6
100,100,6
77,77,2
58,58,3
30,30,6
33,33,5
44,44,4
9,9,2
39,39,6
20,20,9
61,61,4
64,64,6
94,94,5
79,79,3
24,24,3
82,82,3
91,91,5
32,32,4
14,14,7
40,40,3
5,5,1
94,94,4
67,67,1
64,64,5
22,22,5
10,10,7
56,56,7
88,88,2
41,41,2
55,55,6
77,77,5
27,27,7
33,33,2
95,95,4
5,5,3
23,23,1
43,43,1
94,94,4
22,22,1
45,45,4
18,18,8
18,18,5
1,1,6
10,10,3
29,29,1
58,58,5
62,62,5
78,78,5
61,61,4
87,87,5
76,76,6
46,46,7
14,14,5
86,86,6
67,67,3
28,28,3
8,8,7
49,49,2
54,54,2
97,97,3
54,54,4
24,24,9
92,92,3
43,43,4
75,75,3
49,49,1
48,48,4
86,86,1
39,39,1
9,9,4
56,56,5
55,55,5
71,71,6
46,46,6
