54,54,53,2.29
7,7,7,54.99
77,77,76,3.49
62,62,2,34.99
2,2,61,1.99
80,80,2,99.99
48,48,79,1.79
39,39,47,10.99
23,23,38,89.99
51,51,22,49.99
34,34,51,1.89
13,13,95,24.99
62,62,87,22.99
39,39,96,39.99
92,92,34,8.99
19,19,12,4.49
63,63,61,12.99
75,75,39,10.99
92,92,91,2.49
21,21,19,1.99
50,50,43,29.99
39,39,62,7.49
30,30,74,2.99
87,87,37,29.99
14,14,91,34.99
76,76,67,15.99
43,43,29,29.99
76,76,21,99.99
23,23,49,44.99
60,60,8,3.39
74,74,39,39.99
65,65,30,5.99
6,6,86,89.99
48,48,14,2.99
33,33,75,34.99
36,36,34,4.99
41,41,76,5.29
69,69,42,34.99
40,40,73,3.79
4,4,75,1.99
18,18,23,3.99
14,14,59,5.99
60,60,62,29.99
88,88,73,39.99
12,12,65,9.99
82,82,41,3.29
46,46,6,29.99
34,34,47,24.99
26,26,47,3.29
35,35,33,29.99
36,36,36,29.99
44,44,41,79.99
79,79,68,4.49
97,97,39,249.99
69,69,4,19.99
38,38,17,3.49
72,72,68,19.99
36,36,18,4.49
18,18,14,7.49
63,63,59,14.99
12,12,4,4.49
4,4,87,79.99
34,34,57,29.99
22,22,12,34.99
40,40,81,24.99
99,99,26,12.99
23,23,46,24.99
46,46,34,89.99
89,89,26,15.99
66,66,12,3.29
73,73,34,44.99
95,95,35,7.99
60,60,44,49.99
72,72,78,22.99
58,58,96,5.49
12,12,68,3.79
25,25,96,34.99
12,12,38,249.99
54,54,75,3.49
10,10,71,14.99
2,2,36,19.99
29,29,18,34.99
83,83,62,49.99
71,71,12,24.99
16,16,3,29.99
80,80,34,59.99
96,96,22,2.99
68,68,89,1.99
40,40,40,1.99
100,100,47,3.29
8,8,98,4.09
14,14,23,2.99
43,43,46,4.99
65,65,48,4.19
15,15,41,3.29
43,43,49,4.19
42,42,88,34.99
59,59,83,39.99
91,91,66,39.99
87,87,72,5.49
