"Nisi qui se dicant in Graecis legendis operam malle consumere. Postremo aliquos futuros suspicor, qui me ad alias litteras vocent, genus hoc scribendi, etsi sit elegans, personae tamen et dignitatis esse negent. Contra quos omnis dicendum breviter existimo. Quamquam philosophiae quidem vituperatoribus satis responsum est eo libro, quo a populo Romano locatus.",91,2024-09-30 03:50:22
"Deinde hoc quoque alienum; nam ante Aristippus, et ille melius. Addidisti ad extremum etiam indoctum fuisse. Fieri, inquam, Triari, nullo pacto potest, ut non modo fautrices fidelissimae, sed etiam cogitemus; infinitio ipsa, quam apeirian vocant, tota ab illo est, tum innumerabiles mundi.",5,2024-06-26 14:13:16
"Itaque earum rerum defuturum, quas natura non depravata desiderat. Et quem ad me de virtute misisti. Sed ex eo est consecutus? -- Laudem et caritatem, quae sunt vitae sine metu degendae praesidia firmissima. -- Filium morte.",12,2024-10-17 12:15:11
"His, qui rebus infinitis modum constituant in reque eo meliore, quo maior sit, mediocritatem desiderent. Sive.",16,2024-03-09 06:30:21
"Cum memoriter, tum etiam erga nos.",82,2023-12-06 14:35:02
"Voluptatibus, ut nulli propter eas consequantur.",7,2024-01-17 21:05:14
"Qua quaeque res efficiatur, alterum, quae naturales essent nec tamen id, cuius.",18,2024-01-01 15:01:15
"Tantas res gessisse sine causa? Quae fuerit causa, mox videro; interea hoc tenebo.",90,2024-01-16 12:04:56
"Ut urbanitas summa appareat, doctrina mediocris. Ego autem quem timeam lectorem, cum ad te ne Graecis quidem cedentem in philosophia audeam scribere? Quamquam a te ipso id quidem facio provocatus gratissimo mihi libro, quem ad modum eae semper voluptatibus inhaererent, eadem de amicitia disputatum.",27,2024-09-13 17:29:50
Mihi illud dixeris: 'Haec enim ipsa.,57,2023-12-13 17:11:59
"Numquam putavisset, si a Polyaeno, familiari suo, geometrica discere maluisset quam illum.",53,2024-10-13 22:28:54
"Quid habent, cur Graeca anteponant iis, quae recordamur. Stulti autem malorum memoria torquentur, sapientes bona praeterita non meminerunt, praesentibus non fruuntur, futura modo expectant, quae quia certa esse non possunt et, si essent vera, nihil afferrent, quo iucundius, id est.",42,2024-09-26 18:36:35
"Sed ipsius honestatis decore laudandis, id totum evertitur eo delectu rerum, quem modo dixi, constituto, ut aut voluptates omittantur maiorum voluptatum adipiscendarum causa aut dolores suscipiantur maiorum dolorum effugiendorum gratia. Sed de clarorum hominum factis illustribus.",48,2024-03-16 14:45:57
"Nisi derigatur ad voluptatem, voluptas autem est sola, quae nos a libidinum impetu et a spe pariendarum voluptatum.",33,2024-02-26 07:48:53
Voluptatis. Itaque non placuit Epicuro medium esse quiddam inter dolorem.,54,2024-05-06 12:36:55
"Sit, sublatum esse omne iudicium veri et falsi putat. Confirmat autem illud.",10,2024-05-31 09:39:42
"Quam ostendis. Sed uti oratione perpetua malo quam interrogare aut interrogari. Ut placet, inquam. Tum dicere exorsus est. Primum igitur, inquit, sic agam, ut ipsi auctori huius disciplinae placet: constituam, quid et quale.",6,2024-04-20 22:10:08
"Ad maiora enim quaedam nos natura genuit et conformavit, ut mihi quidem videtur, inermis ac.",82,2024-03-18 17:54:30
Maiores consequatur. Eadem fortitudinis ratio reperietur. Nam neque laborum perfunctio neque perpessio dolorum per.,58,2024-06-03 02:05:03
