64,2024-07-09 11:45:22,Cancelled,52.83
85,2024-09-24 05:13:35,Delivered,58.07
55,2024-06-07 08:00:27,Returned,50.63
78,2024-08-31 02:56:29,Refunded,56.43
97,2024-11-08 16:20:59,Pending,61.18
12,2024-01-01 04:29:58,Processing,39.83
21,2024-02-02 01:44:37,Shipped,42.01
32,2024-03-15 20:46:02,Returned,44.93
79,2024-09-03 02:31:22,Returned,56.63
79,2024-09-03 05:54:02,Returned,56.64
81,2024-09-09 21:47:50,Shipped,57.09
33,2024-03-17 21:14:24,Cancelled,45.07
69,2024-07-28 13:24:50,Shipped,54.13
33,2024-03-30 20:20:23,Shipped,45.96
79,2024-03-19 13:20:18,Returned,45.19
32,2024-08-05 21:45:04,Cancelled,56.61
90,2024-07-26 01:38:35,Shipped,54.70
49,2024-04-07 00:07:23,Shipped,53.96
19,2024-03-14 23:45:10,Refunded,46.45
12,2024-10-12 03:44:26,Delivered,44.87
19,2024-05-16 14:20:18,Pending,59.30
22,2023-11-28 00:27:10,Processing,49.15
79,2024-01-28 08:50:55,Pending,37.50
38,2024-01-01 04:58:24,Processing,41.69
65,2024-01-27 14:17:00,Processing,39.83
97,2024-02-06 00:25:53,Returned,41.64
24,2024-09-02 21:45:56,Shipped,42.28
91,2024-04-05 01:10:32,Cancelled,56.62
69,2024-07-12 20:53:09,Delivered,46.31
82,2024-05-03 07:40:44,Refunded,53.06
40,2024-11-07 14:46:11,Processing,48.24
48,2024-02-14 01:42:03,Refunded,61.10
22,2024-10-15 03:47:19,Cancelled,42.83
8,2024-07-27 20:28:27,Returned,59.50
83,2024-09-14 23:59:03,Shipped,54.09
86,2024-04-13 13:24:30,Delivered,57.44
55,2024-05-12 00:37:42,Processing,46.89
94,2024-02-07 12:54:04,Pending,48.84
20,2023-12-17 19:26:47,Returned,42.38
81,2024-09-18 16:25:15,Delivered,38.85
62,2024-09-28 09:19:36,Shipped,57.69
64,2024-06-06 20:52:33,Refunded,58.36
34,2024-03-13 02:35:34,Processing,50.60
15,2024-01-29 17:02:19,Returned,44.74
47,2024-09-09 02:11:41,Cancelled,60.41
13,2024-06-12 13:40:54,Cancelled,41.78
46,2024-07-03 06:43:57,Shipped,57.04
35,2024-07-11 00:15:16,Delivered,50.99
10,2024-01-11 02:46:25,Pending,52.41
23,2024-05-07 13:24:55,Refunded,52.93
10,2024-01-04 23:33:28,Cancelled,45.43
81,2024-10-03 17:55:28,Delivered,40.51
18,2024-07-22 20:03:01,Cancelled,48.53
83,2024-05-05 05:36:43,Shipped,40.09
53,2024-07-14 20:19:45,Pending,58.72
25,2024-03-25 22:46:56,Processing,53.74
35,2023-12-23 16:13:17,Pending,48.37
28,2023-12-26 03:15:56,Returned,53.20
3,2024-09-10 01:05:12,Processing,45.62
32,2024-01-24 09:09:18,Delivered,39.25
29,2024-05-17 23:30:21,Pending,42.60
2,2024-01-02 22:54:42,Returned,39.42
55,2024-09-16 10:16:03,Delivered,57.10
27,2024-05-30 10:03:18,Processing,41.42
14,2024-02-19 02:32:42,Delivered,49.24
49,2024-06-05 03:31:10,Shipped,39.95
21,2024-03-25 04:16:38,Cancelled,57.54
61,2024-06-26 18:22:23,Refunded,50.09
41,2024-02-29 10:26:39,Pending,43.17
94,2024-11-12 16:09:13,Shipped,50.49
33,2023-11-29 04:51:29,Pending,45.57
9,2024-03-13 22:08:19,Delivered,51.96
39,2024-03-03 09:26:10,Processing,43.88
27,2023-11-26 10:24:38,Refunded,61.45
23,2024-06-07 15:44:40,Delivered,37.58
27,2024-02-26 12:58:07,Processing,44.80
84,2024-10-29 10:28:57,Cancelled,44.08
2,2024-01-07 10:00:41,Shipped,37.39
32,2024-05-17 02:45:33,Refunded,50.66
99,2024-02-02 03:07:21,Shipped,43.68
82,2024-04-15 11:47:10,Shipped,60.48
87,2024-10-28 20:09:02,Pending,40.26
32,2024-04-11 02:50:17,Delivered,49.19
96,2024-03-19 15:13:57,Pending,42.01
21,2023-12-20 05:27:30,Shipped,52.14
10,2024-06-01 10:23:09,Shipped,47.03
1,2023-12-27 02:20:57,Processing,60.44
31,2024-04-08 18:44:47,Cancelled,46.73
34,2024-02-24 19:34:17,Processing,45.19
87,2024-06-30 22:31:17,Processing,39.02
50,2024-02-09 12:35:00,Returned,50.23
60,2024-02-24 14:13:15,Pending,39.48
73,2024-09-20 11:49:41,Shipped,46.57
78,2023-11-26 09:26:52,Refunded,44.73
5,2024-03-13 07:15:35,Shipped,43.56
58,2024-10-04 00:58:12,Returned,52.25
48,2024-03-31 10:52:16,Returned,42.52
67,2024-11-15 17:05:36,Refunded,43.55
68,2024-09-14 10:35:35,Shipped,57.82
69,2024-09-11 15:14:46,Refunded,37.39
