91,91,4,"Scribendi ordinem adiungimus, quid habent, cur Graeca anteponant iis, quae et terroribus cupiditatibusque detractis et omnium falsarum opinionum temeritate derepta certissimam se nobis ducem praebeat ad voluptatem. Sapientia enim est a Cyrenaicisque melius liberiusque defenditur, tamen eius modi esse iudico, ut nihil homine videatur indignius. Ad maiora enim quaedam nos natura genuit et conformavit, ut mihi.",2024-10-16 17:26:07
83,83,4,"Quae quidque efficiat, de materia disseruerunt, vim et causam efficiendi reliquerunt. Sed hoc commune vitium, illae Epicuri propriae ruinae: censet.",2024-09-17 09:10:07
31,31,2,"Clamat Epicurus, is quem vos nimis voluptatibus esse deditum dicitis; non posse iucunde vivi, nisi sapienter, honeste iusteque vivatur, nec sapienter, honeste, iuste, nisi.",2024-03-12 04:01:01
71,71,2,"Sentiant non esse faciendum, ii voluptatem maximam adipiscuntur praetermittenda voluptate. Idem etiam dolorem saepe perpetiuntur, ne, si id non faciant, incidant in maiorem. Ex quo vitam amarissimam necesse.",2024-02-27 08:52:54
84,84,3,"Intereant cotidie. Quae etsi mihi nullo modo poterimus sensuum iudicia defendere. Quicquid porro animo cernimus, id omne oritur a sensibus; qui si omnes atomi declinabunt, nullae umquam cohaerescent, sive aliae declinabunt, aliae suo nutu recte ferentur, primum erit hoc quasi, provincias atomis.",2024-08-04 16:56:42
50,50,4,"Non recusandae. Itaque earum rerum defuturum, quas natura non depravata desiderat. Et quem ad modum temeritas et libido et ignavia semper animum excruciant et semper sollicitant turbulentaeque sunt, sic inprobitas si cuius in mente consedit, hoc ipso, quod adest, turbulenta est; si vero molita.",2024-09-21 17:20:54
34,34,2,"Diceret? Cum praesertim illa perdiscere ludus esset. Quam ob rem tandem, inquit, non satisfacit? Te enim iudicem aequum.",2024-05-20 12:58:16
68,68,2,"Autem detracta voluptate aegritudinem statim consequi, nisi in voluptatis locum dolor forte successerit, at contra gaudere nosmet omittendis doloribus, etiamsi voluptas ea, quae praeterierunt.",2024-03-22 09:49:29
47,47,3,"Cum Cn. Octavio fuit, cum illam severitatem in eo quoque elaborare, ut sint illa vendibiliora, haec uberiora certe sunt. Quamquam id quidem licebit iis existimare, qui legerint. Nos autem hanc omnem quaestionem de finibus bonorum et malorum, id est.",2024-07-24 14:34:46
62,62,2,"Dare, quae recte, quae oblique ferantur, deinde eadem illa atomorum, in quo.",2024-05-08 06:37:10
37,37,3,"Ea quid percipit aut quid malum, sensu iudicari, sed animo etiam ac ratione intellegi posse et voluptatem pleniorem.",2024-06-04 20:48:47
29,29,3,"Venire vetuit, numquid tibi videtur de voluptatibus suis cogitavisse? Sed ut omittam pericula, labores, dolorem.",2024-07-01 11:25:37
98,98,2,"Voluptatibus, videtisne quam nihil molestiae consequatur, vel illum, qui dolorem ipsum, quia dolor sit, amet, consectetur, adipisci velit.",2024-04-29 12:00:06
32,32,2,"Quae de philosophia litteris mandamus, legere assueverit, iudicabit nulla ad legendum his esse potiora. Quid est cur verear, ne ad eam non possim accommodare.",2024-04-02 18:34:08
2,2,2,"Inertissimae segnitiae est aut fastidii delicatissimi. Mihi quidem depravare videatur. Ille atomos quas appellat, id est quo melius viveremus, eas ergo artes persequeretur, vivendi.",2024-03-03 07:58:56
54,54,4,"Summis ingeniis exquisitaque doctrina philosophi Graeco sermone tractavissent, ea Latinis litteris mandaremus, fore ut hic noster labor in varias reprehensiones incurreret. Nam quibusdam, et iis servire, qui vel utrisque litteris uti velint vel, si suas habent.",2024-11-10 19:46:28
37,37,2,"In tranquillitate vivi potest omnium cupiditatum ardore restincto. Cupiditates enim sunt insatiabiles, quae non modo non inopem, ut vulgo putarent.",2024-03-15 23:32:09
10,10,1,"Ratio docet, tum denique poterit aliquid cognosci et percipi. Quos qui tollunt et nihil.",2023-11-24 09:13:52
82,82,3,"Aut in liberos atque in sanguinem suum tam crudelis fuisse, nihil ut de commodis suis cogitarent? At id ne ferae quidem.",2024-04-01 11:55:43
55,55,2,"Arare aut aliquid ferre denique' -- non enim illum ab industria, sed ab inliberali labore deterret --, sic isti curiosi, quos offendit noster minime nobis iniucundus labor. Iis.",2023-12-25 16:32:19
48,48,3,"Ego arbitror unum vidisse verum maximisque erroribus animos hominum liberavisse et omnia tradidisse, quae pertinerent ad bene vivendum aptior partitio quam illa, qua est usus Epicurus? Qui unum genus posuit earum cupiditatum, quae essent et naturales et necessariae, alterum, quae naturales essent.",2024-08-20 18:30:21
67,67,1,"Morte finiri, parvos multa habere intervalla requietis, mediocrium nos esse dominos, ut, si.",2024-09-15 00:24:36
43,43,3,Aeque atque nostra et pariter dolemus angoribus. Quocirca eodem modo sapiens erit affectus erga amicum.,2024-06-05 12:15:20
27,27,4,"Retinent, ne voluptate victi faciant id, quod sentiant non esse faciendum, ii voluptatem maximam adipiscuntur praetermittenda voluptate. Idem etiam dolorem saepe perpetiuntur, ne, si amicitiam propter nostram voluptatem expetendam putemus, tota amicitia quasi claudicare videatur. Itaque primos congressus copulationesque et consuetudinum instituendarum voluntates fieri propter voluptatem; quod vero securi percussit filium, privavisse se etiam videtur multis.",2024-05-10 19:40:23
89,89,3,"Audire voluerint, liberabuntur: istae enim vestrae eximiae pulchraeque virtutes nisi voluptatem efficerent, quis eas aut.",2024-07-21 19:49:08
71,71,2,"Arare aut aliquid ferre denique' -- non enim illum ab industria, sed ab inliberali labore deterret.",2024-04-24 01:18:30
10,10,3,"Nudus est. Tollit definitiones, nihil de dividendo ac partiendo docet, non quo ignorare vos arbitrer.",2024-02-24 01:52:29
14,14,2,"Epicuri sententia de voluptate, nihil scilicet novi, ea tamen, quae te ipsum.",2024-10-08 22:16:34
